Symbol,Sector,holidays
KSB-EQ,"Machinery, Equipment & Components",
KSCL-EQ,Food & Tobacco,
KSL-EQ,Metals & Mining,
KTKBANK-EQ,Banking Services,
KUANTUM-EQ,Paper & Forest Products,
KWALITY-EQ,Food & Tobacco,
L&TFH-EQ,NO DATA,
LAMBODHARA-EQ,Textiles & Apparel,
LAOPALA-EQ,Household Goods,
LASA-EQ,Pharmaceuticals,
LAXMIMACH-EQ,NO DATA,
LFIC-EQ,Banking Services,
LGBBROSLTD-EQ,"Machinery, Equipment & Components",
LIBAS-EQ,Specialty Retailers,
LIBERTSHOE-EQ,Textiles & Apparel,
LIKHITHA-EQ,Construction & Engineering,
LINCOLN-EQ,Pharmaceuticals,
LINCPEN-EQ,NO DATA,
LOTUSEYE-EQ,Healthcare Providers & Services,
LPDC-EQ,Construction & Engineering,
LTI-EQ,Collective Investments,
LUMAXIND-EQ,Automobiles & Auto Parts,
LUMAXTECH-EQ,Automobiles & Auto Parts,
LUXIND-EQ,Textiles & Apparel,
LYKALABS-EQ,Pharmaceuticals,
MAANALU-EQ,Metals & Mining,
MADHAV-EQ,Homebuilding & Construction Supplies,
MADRASFERT-EQ,Chemicals,
MAGADSUGAR-EQ,Food & Tobacco,
MAGMA-EQ,NO DATA,
MAGNUM-EQ,Paper & Forest Products,
MAHASTEEL-EQ,Metals & Mining,
MAHEPC-EQ,"Machinery, Equipment & Components",
MAHINDCIE-EQ,NO DATA,
MAHLIFE-EQ,Real Estate Operations,
MAHLOG-EQ,Freight & Logistics Services,
MAHSCOOTER-EQ,Holding Companies,
MAITHANALL-EQ,Metals & Mining,
MAJESCO-EQ,NO DATA,
MANAKALUCO-EQ,Metals & Mining,
MANAKCOAT-EQ,Metals & Mining,
MANAKSIA-EQ,Metals & Mining,
MANAKSTEEL-EQ,Metals & Mining,
MANALIPETC-EQ,Chemicals,
MANGALAM-EQ,Pharmaceuticals,
MANGCHEFER-EQ,NO DATA,
MANGLMCEM-EQ,Construction Materials,
MANGTIMBER-EQ,NO DATA,
MANINDS-EQ,Metals & Mining,
MANINFRA-EQ,Construction & Engineering,
MANUGRAPH-EQ,"Machinery, Equipment & Components",
MARATHON-EQ,Real Estate Operations,
MARINE-EQ,"Machinery, Equipment & Components",
MARKSANS-EQ,Pharmaceuticals,
MASFIN-EQ,Banking Services,
MATRIMONY-EQ,Software & IT Services,
MAXIND-EQ,Healthcare Providers & Services,
MAXVIL-EQ,NO DATA,
MAYURUNIQ-EQ,Textiles & Apparel,
MAZDA-EQ,"Machinery, Equipment & Components",
MBLINFRA-EQ,Construction & Engineering,
MCDOWELL-N-EQ,NO DATA,
MCLEODRUSS-EQ,Food & Tobacco,
MEGASOFT-EQ,NO DATA,
MEGH-EQ,Chemicals,
MEP-EQ,Transport Infrastructure,
MGEL-EQ,Food & Tobacco,
MHRIL-EQ,Hotels & Entertainment Services,
